Timestamp,DateTime,Countdown,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ
2024-07-09 04:09:51.137,2024-07-09 04:09:51.137,299.9631,22.805,5.582055,53.38992,0,89.23193,0,-27.4,5.880055,3.698912,0,89.23193,0
2024-07-09 04:09:51.180,2024-07-09 04:09:51.180,299.8971,22.805,5.582055,53.38992,0,89.23203,0,-27.4,5.880055,3.698912,0,89.23203,0
2024-07-09 04:09:51.221,2024-07-09 04:09:51.221,299.854,22.805,5.582055,53.38992,0,89.23212,0,-27.4,5.880055,3.698912,0,89.23212,0
2024-07-09 04:09:51.265,2024-07-09 04:09:51.265,299.8083,22.805,5.582055,53.38992,0,89.23226,0,-27.4,5.880055,3.698912,0,89.23226,0
2024-07-09 04:09:51.314,2024-07-09 04:09:51.314,299.7604,22.805,5.582055,53.38992,0,89.2323,0,-27.4,5.880055,3.698912,0,89.2323,0
2024-07-09 04:09:51.356,2024-07-09 04:09:51.356,299.7185,22.805,5.582055,53.38992,0,89.23238,0,-27.4,5.880055,3.698912,0,89.23238,0
2024-07-09 04:09:51.391,2024-07-09 04:09:51.391,299.6817,22.805,5.582055,53.38992,0,89.2325,0,-27.4,5.880055,3.698912,0,89.2325,0
2024-07-09 04:09:51.428,2024-07-09 04:09:51.428,299.6449,22.805,5.582055,53.38992,0,89.23267,0,-27.4,5.880055,3.698912,0,89.23267,0
2024-07-09 04:09:51.465,2024-07-09 04:09:51.465,299.6081,22.805,5.582055,53.38992,0,89.23283,0,-27.4,5.880055,3.698912,0,89.23283,0
2024-07-09 04:09:51.500,2024-07-09 04:09:51.500,299.5735,22.805,5.582055,53.38992,0,89.23297,0,-27.4,5.880055,3.698912,0,89.23297,0
2024-07-09 04:09:51.537,2024-07-09 04:09:51.537,299.5374,22.805,5.582055,53.38992,0,89.23315,0,-27.4,5.880055,3.698912,0,89.23315,0
2024-07-09 04:09:51.572,2024-07-09 04:09:51.572,299.5021,22.805,5.582055,53.38992,0,89.23322,0,-27.4,5.880055,3.698912,0,89.23322,0
2024-07-09 04:09:51.606,2024-07-09 04:09:51.606,299.4677,22.805,5.582055,53.38992,0,89.23333,0,-27.4,5.880055,3.698912,0,89.23333,0
2024-07-09 04:09:51.640,2024-07-09 04:09:51.640,299.4338,22.805,5.582055,53.38992,0,89.2335,0,-27.4,5.880055,3.698912,0,89.2335,0
2024-07-09 04:09:51.675,2024-07-09 04:09:51.675,299.3989,22.805,5.582055,53.38992,0,89.23367,0,-27.4,5.880055,3.698912,0,89.23367,0
2024-07-09 04:09:51.709,2024-07-09 04:09:51.709,299.3645,22.805,5.582055,53.38992,0,89.23368,0,-27.4,5.880055,3.698912,0,89.23368,0
2024-07-09 04:09:51.745,2024-07-09 04:09:51.745,299.3291,22.805,5.582055,53.38992,0,89.23377,0,-27.4,5.880055,3.698912,0,89.23377,0
2024-07-09 04:09:51.780,2024-07-09 04:09:51.780,299.2939,22.805,5.582055,53.38992,0,89.23378,0,-27.4,5.880055,3.698912,0,89.23378,0
2024-07-09 04:09:51.816,2024-07-09 04:09:51.816,299.2573,22.805,5.582055,53.38992,0,89.23386,0,-27.4,5.880055,3.698912,0,89.23386,0
2024-07-09 04:09:51.851,2024-07-09 04:09:51.851,299.2222,22.805,5.582055,53.38992,0,89.23396,0,-27.4,5.880055,3.698912,0,89.23396,0
2024-07-09 04:09:51.887,2024-07-09 04:09:51.887,299.1862,22.805,5.582055,53.38992,0,89.23409,0,-27.4,5.880055,3.698912,0,89.23409,0
2024-07-09 04:09:51.923,2024-07-09 04:09:51.923,299.1505,22.805,5.582055,53.38992,0,89.23418,0,-27.4,5.880055,3.698912,0,89.23418,0
2024-07-09 04:09:51.959,2024-07-09 04:09:51.959,299.1147,22.805,5.582055,53.38992,0,89.23428,0,-27.4,5.880055,3.698912,0,89.23428,0
2024-07-09 04:09:51.995,2024-07-09 04:09:51.995,299.0786,22.805,5.582055,53.38992,0,89.23441,0,-27.4,5.880055,3.698912,0,89.23441,0
2024-07-09 04:09:52.027,2024-07-09 04:09:52.027,299.0461,22.805,5.582055,53.38992,0,89.23452,0,-27.4,5.880055,3.698912,0,89.23452,0
2024-07-09 04:09:52.062,2024-07-09 04:09:52.062,299.012,22.805,5.582055,53.38992,0,89.2348,0,-27.4,5.880055,3.698912,0,89.2348,0
2024-07-09 04:09:52.095,2024-07-09 04:09:52.095,298.979,22.805,5.582055,53.38992,0,89.235,0,-27.4,5.880055,3.698912,0,89.235,0
2024-07-09 04:09:52.129,2024-07-09 04:09:52.129,298.944,22.805,5.582055,53.38992,0,89.23511,0,-27.4,5.880055,3.698912,0,89.23511,0
2024-07-09 04:09:52.164,2024-07-09 04:09:52.164,298.9106,22.805,5.582055,53.38992,0,89.23524,0,-27.4,5.880055,3.698912,0,89.23524,0
2024-07-09 04:09:52.198,2024-07-09 04:09:52.198,298.8763,22.805,5.582055,53.38992,0,89.23529,0,-27.4,5.880055,3.698912,0,89.23529,0
2024-07-09 04:09:52.231,2024-07-09 04:09:52.231,298.8423,22.805,5.582055,53.38992,0,89.23537,0,-27.4,5.880055,3.698912,0,89.23537,0
2024-07-09 04:09:52.265,2024-07-09 04:09:52.265,298.8087,22.805,5.582055,53.38992,0,89.23543,0,-27.4,5.880055,3.698912,0,89.23543,0
2024-07-09 04:09:52.298,2024-07-09 04:09:52.298,298.7752,22.805,5.582055,53.38992,0,89.23549,0,-27.4,5.880055,3.698912,0,89.23549,0
2024-07-09 04:09:52.332,2024-07-09 04:09:52.332,298.7415,22.805,5.582055,53.38992,0,89.2356,0,-27.4,5.880055,3.698912,0,89.2356,0
2024-07-09 04:09:52.368,2024-07-09 04:09:52.368,298.7062,22.805,5.582055,53.38992,0,89.2357,0,-27.4,5.880055,3.698912,0,89.2357,0
2024-07-09 04:09:52.403,2024-07-09 04:09:52.403,298.6711,22.805,5.582055,53.38992,0,89.23589,0,-27.4,5.880055,3.698912,0,89.23589,0
2024-07-09 04:09:52.439,2024-07-09 04:09:52.439,298.6348,22.805,5.582055,53.38992,0,89.23595,0,-27.4,5.880055,3.698912,0,89.23595,0
