Timestamp,DateTime,RightStickX,RightStickY,LeftStickX,LeftStickY,DpadUp,DpadDown
2024-05-14 06:11:38.203,2024-05-14 06:11:38.203,0,0,0,0,0,0
2024-05-14 06:11:38.223,2024-05-14 06:11:38.223,0,0,0,0,0,0
2024-05-14 06:11:38.245,2024-05-14 06:11:38.245,0,0,0,0,0,0
2024-05-14 06:11:38.268,2024-05-14 06:11:38.268,0,0,0,0,0,0
2024-05-14 06:11:38.291,2024-05-14 06:11:38.291,0,0,0,0,0,0
2024-05-14 06:11:38.313,2024-05-14 06:11:38.313,0,0,0,0,0,0
2024-05-14 06:11:38.338,2024-05-14 06:11:38.338,0,0,0,0,0,0
2024-05-14 06:11:38.359,2024-05-14 06:11:38.359,0,0,0,0,0,0
2024-05-14 06:11:38.381,2024-05-14 06:11:38.381,0,0,0,0,0,0
2024-05-14 06:11:38.408,2024-05-14 06:11:38.408,0,0,0,0,0,0
2024-05-14 06:11:38.436,2024-05-14 06:11:38.436,0,0,0,0,0,0
2024-05-14 06:11:38.464,2024-05-14 06:11:38.464,0,0,0,0,0,0
2024-05-14 06:11:38.491,2024-05-14 06:11:38.491,0,0,0,0,0,0
2024-05-14 06:11:38.523,2024-05-14 06:11:38.523,0,0,0,0,0,0
2024-05-14 06:11:38.554,2024-05-14 06:11:38.554,0,0,0,0,0,0
2024-05-14 06:11:38.581,2024-05-14 06:11:38.581,0,0,0,0,0,0
2024-05-14 06:11:38.610,2024-05-14 06:11:38.610,0,0,0,0,0,0
2024-05-14 06:11:38.637,2024-05-14 06:11:38.637,0,0,0,0,0,0
2024-05-14 06:11:38.660,2024-05-14 06:11:38.660,0,0,0,0,0,0
2024-05-14 06:11:38.688,2024-05-14 06:11:38.688,0,0,0,0,0,0
2024-05-14 06:11:38.711,2024-05-14 06:11:38.711,0,0,0,0,0,0
2024-05-14 06:11:38.739,2024-05-14 06:11:38.739,0,0,0,0,0,0
2024-05-14 06:11:38.787,2024-05-14 06:11:38.787,0,0,0,0,0,0
2024-05-14 06:11:38.815,2024-05-14 06:11:38.815,0,0,0,0,0,0
2024-05-14 06:11:38.844,2024-05-14 06:11:38.844,0,0,0,0,0,0
2024-05-14 06:11:38.868,2024-05-14 06:11:38.868,0,0,0,0,0,0
2024-05-14 06:11:38.891,2024-05-14 06:11:38.891,0,0,0,0,0,0
2024-05-14 06:11:38.914,2024-05-14 06:11:38.914,0,0,0,0,0,0
